Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Lana	23:42 1/3/2022	103
Jim	23:42 1/3/2022	150
Jim	23:42 1/3/2022	168
Mike	23:42 1/3/2022	158
Tom	23:42 1/3/2022	114
Tom	23:42 1/3/2022	139
Lana	23:42 1/3/2022	143
TomH	23:42 1/3/2022	149
Tom	10:38 1/5/3922	154
Jim	10:38 1/5/3922	120
TomH	10:38 1/5/3922	153
Mike	11:24 1/7/3922	196
Jim	11:24 1/7/3922	139
Lana	11:24 1/7/3922	146
Mike	11:24 1/7/3922	126
Jim	11:24 1/7/3922	117
Mike	11:24 1/7/3922	126
Jim	11:25 1/7/3922	130
Mike	11:25 1/7/3922	121
Mike	11:25 1/7/3922	133
Mike	2:42 1/7/3922	148
Jim	2:42 1/7/3922	118
Tom	2:42 1/7/3922	122
TomH	2:43 1/7/3922	102
TomH	2:43 1/7/3922	133
Jim	2:43 1/7/3922	132
Tom	2:43 1/7/3922	137
Jim	2:52 1/7/3922	88
Lana	2:52 1/7/3922	101
TomH	2:52 1/7/3922	152
Jim	3:39 1/7/3922	116
Mike	3:43 1/7/3922	117
Jim	3:43 1/7/3922	103
Lana	3:43 1/7/3922	113
Mike	5:28 1/7/3922	170
Jim	5:28 1/7/3922	155
Tom	5:28 1/7/3922	130
Tom	5:28 1/7/3922	99
Lana	5:28 1/7/3922	108
a	5:28 1/7/3922	118
Tom	9:39 1/7/3922	166
TomH	9:39 1/7/3922	103
Mike	9:39 1/7/3922	169
Jim	9:39 1/7/3922	173
Tom	9:39 1/7/3922	128
Mike	9:39 1/7/3922	129
Jim	9:40 1/7/3922	127
TomH	3:31 1/1/3922	137
Mike	3:31 1/1/3922	143
Jim	3:31 1/1/3922	114
