Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Lana	23:42 1/3/2022	103
Jim	23:42 1/3/2022	150
Jim	23:42 1/3/2022	168
Mike	23:42 1/3/2022	158
Tom	23:42 1/3/2022	114
Tom	23:42 1/3/2022	139
Lana	23:42 1/3/2022	143
TomH	23:42 1/3/2022	149
Tom	10:38 1/5/3922	154
Jim	10:38 1/5/3922	120
TomH	10:38 1/5/3922	153
Mike	11:24 1/7/3922	196
Jim	11:24 1/7/3922	139
Lana	11:24 1/7/3922	146
Mike	11:24 1/7/3922	126
Jim	11:24 1/7/3922	117
Mike	11:24 1/7/3922	126
Jim	11:25 1/7/3922	130
Mike	11:25 1/7/3922	121
Mike	11:25 1/7/3922	133
